代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
000521	美菱电器	-5.00	5.13	-0.27	5.13	5.14	36801	2	-1.15	          0.62	5.43	5.48	5.11	5.40	    18.15	19545976	  1.39	家用电器	安徽	6.85	5.31	22950	13850	  1.66	5	74	--  	      59296.64	
000523	广州浪奇	-4.14	9.95	-0.43	9.93	9.95	34342	5	-1.97	          0.77	10.51	10.65	9.95	10.38	   116.14	35527480	  1.12	日用化工	广东	6.74	10.35	19319	15022	  1.29	20	17	--  	      44496.21	
000524	岭南控股	-8.45	11.81	-1.09	11.81	11.83	23348	7	-0.75	          0.87	13.01	13.07	11.70	12.90	    80.85	28743698	  1.99	酒店餐饮	广东	10.62	12.31	13501	9847	  1.37	19	11	--  	      26967.16	
000525	红 太 阳	-1.56	11.96	-0.19	11.96	12.00	15819	3	-1.23	          0.31	12.38	12.39	11.84	12.15	    20.74	19120866	  0.81	农药化肥	江苏	4.53	12.09	7167	8651	  0.83	4	56	--  	      50698.30	
000526	银润投资	-6.75	47.28	-3.42	47.24	47.28	10154	5	-0.46	          1.06	51.00	51.00	46.56	50.70	  1217.94	49098952	  1.01	房产服务	福建	8.76	48.36	6499	3654	  1.78	1	11	--  	       9619.50	
000528	柳    工	-2.94	6.28	-0.19	6.27	6.28	61432	15	-1.41	          0.55	6.51	6.57	6.28	6.47	   235.49	39529100	  1.16	工程机械	广西	4.48	6.43	31356	30076	  1.04	120	420	--  	     112508.75	
000529	广弘控股	-6.98	7.60	-0.57	7.59	7.60	59207	7	-1.17	          1.04	8.05	8.17	7.60	8.17	    49.39	46277500	  1.15	食品	广东	6.98	7.82	31474	27733	  1.13	8	27	--  	      56719.78	
000530	大冷股份	-5.52	12.66	-0.74	12.61	12.66	17157	13	-1.86	          0.80	13.55	13.68	12.60	13.40	    34.39	22771060	  0.89	机械基件	辽宁	8.06	13.27	9105	8051	  1.13	1	75	--  	      21579.05	
000531	穗恒运Ａ	-4.55	8.40	-0.40	8.37	8.38	32517	20	-0.70	          0.47	8.80	8.88	8.38	8.80	    11.80	28096640	  1.01	火力发电	广东	5.68	8.64	18685	13832	  1.35	7	10	--  	      68508.13	
000532	力合股份	-8.90	14.02	-1.37	14.00	14.02	54280	3	-2.16	          1.58	15.29	15.46	14.00	15.39	   144.58	79454648	  0.99	元器件	广东	9.49	14.64	28184	26095	  1.08	311	12	--  	      34348.33	
000533	万 家 乐	-5.29	6.80	-0.38	6.79	6.80	56876	12	-1.16	          0.83	7.19	7.28	6.79	7.18	    31.57	39775992	  1.16	家用电器	广东	6.82	6.99	31861	25015	  1.27	18	17	--  	      68490.24	
000534	万泽股份	--  	9.45	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.45	    72.71	0	  0.00	区域地产	广东	0.00	9.45	0	0	--  	0	0	--  	      49104.12	
000536	华映科技	0.63	11.21	0.07	11.21	11.22	84720	11	-0.70	          3.38	11.16	11.70	10.85	11.14	    95.54	95972184	  2.72	元器件	福建	7.63	11.33	40175	44544	  0.90	30	193	--  	      25086.58	
000537	广宇发展	-8.13	6.55	-0.58	6.54	6.55	109319	2	-1.65	          2.13	7.14	7.16	6.55	7.13	    19.76	74807640	  1.81	区域地产	天津	8.56	6.84	56048	53271	  1.05	42	362	--  	      51271.33	
