EURUSD,60
symbol,period,date,k,d,ma5,close,datanum,signtype
ESTX50,5,2016.05.30 21:00:00,58.82352941176471,57.13572037510657,3075.688888969721,3076,38,0
ESTX50,15,2016.05.30 20:45:00,73.46938775510205,0,3074.40322445312,3076,16,0
ESTX50,30,2016.05.30 20:30:00,0,0,3073.1392,3076,9,0
ESTX50,60,2016.05.30 20:00:00,0,0,0,3076,5,0
ESTX50,240,1970.01.01 00:00:00,0,0,0,0,2,0
ESTX50,1440,2016.03.30 00:00:00,15.29126213592233,13.92790319403917,2952.059765952443,2963,100,52
ESTX50,10080,1970.01.01 00:00:00,0,0,0,0,1,0
ESTX50,43200,1970.01.01 00:00:00,0,0,0,0,1,0
EURAUDpro,1,2016.05.30 19:38:00,17.88856304984613,14.48502360117243,1.549949973893139,1.54995,100,88
EURAUDpro,5,2016.05.30 21:00:00,73.23008849556997,55.73308210223079,1.55007561905713,1.55047,45,0
EURAUDpro,15,2016.05.30 20:45:00,29.12500000000007,0,1.550191313225523,1.55029,16,0
EURAUDpro,30,2016.05.30 20:30:00,0,0,1.550354384,1.55029,9,0
EURAUDpro,60,2016.05.30 20:00:00,0,0,0,1.55029,5,0
EURAUDpro,240,2016.05.30 05:00:00,18.06276254015302,15.18058417819949,1.547443527560671,1.54745,100,4
EURAUDpro,1440,2016.05.28 00:00:00,37.0009505703425,54.76952833007137,1.548551674122793,1.54565,100,0
EURAUDpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
EURAUDpro,43200,2016.04.01 00:00:00,40.30413111430261,48.09352702975568,1.502701776402228,1.50511,100,0
EURCADpro,1,2016.05.30 20:50:00,16.92307692307546,9.912091818818753,1.452627832398705,1.45273,100,16
EURCADpro,5,2016.05.30 21:00:00,70.5999999999955,74.2628899371754,1.452851172636796,1.45316,100,0
EURCADpro,15,2016.05.30 20:45:00,32.70903010033184,0,1.452850660333363,1.45321,16,0
EURCADpro,30,2016.05.30 20:30:00,0,0,1.45319752,1.45321,9,0
EURCADpro,60,2016.05.30 20:00:00,0,0,0,1.45321,5,0
EURCADpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
EURCADpro,1440,2016.05.28 00:00:00,20.35770647027892,45.0323381308778,1.45688708812622,1.4469,100,0
EURCADpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
EURCADpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
EURCHFpro,1,2016.05.30 20:54:00,14.75409836064321,7.078446431338276,1.105332612975249,1.10536,100,12
EURCHFpro,5,2016.05.30 21:00:00,26.97368421051906,18.3015274403887,1.105511572787419,1.10557,45,0
EURCHFpro,15,2016.05.30 20:45:00,37.38019169327666,0,1.105639945098035,1.10548,16,0
EURCHFpro,30,2016.05.30 20:30:00,0,0,1.105630784,1.10548,9,0
EURCHFpro,60,2016.05.30 20:00:00,0,0,0,1.10548,5,0
EURCHFpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
EURCHFpro,1440,2016.05.28 00:00:00,27.24856909239654,52.90581464316392,1.106458413713041,1.10495,100,0
EURCHFpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
EURCHFpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
EURCZKpro,1,2016.05.30 20:29:00,14.43298969069522,14.21335263073013,27.01838022986386,27.0188,100,29
EURCZKpro,5,2016.05.30 20:10:00,19.09090909085976,14.33301912544162,27.01882459283287,27.0189,45,10
EURCZKpro,15,2016.05.30 20:45:00,22.60869565214396,0,27.01923905833984,27.0195,16,0
EURCZKpro,30,2016.05.30 20:30:00,41.88235294116904,51.5872044252853,27.01939462525699,27.0195,100,0
EURCZKpro,60,2016.05.30 20:00:00,0,0,0,27.0195,5,0
EURCZKpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
EURCZKpro,1440,2016.05.28 00:00:00,72.63157894736774,82.78768367534538,27.01779151909741,26.9943,100,0
EURCZKpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
EURCZKpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
EURDKKpro,1,2016.05.30 20:58:00,81.17647058812712,85.81322965553925,7.436659386284036,7.43667,45,0
EURDKKpro,5,2016.05.30 20:55:00,83.76068376068052,68.96295089094851,7.436634518862102,7.43667,100,0
EURDKKpro,15,2016.05.30 20:45:00,70.58823529406899,0,7.436595885650535,7.43667,16,0
EURDKKpro,30,2016.05.30 20:30:00,0,0,7.436548976,7.43667,9,0
EURDKKpro,60,2016.05.30 20:00:00,0,0,0,7.43667,5,0
EURDKKpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
EURDKKpro,1440,2016.05.28 00:00:00,47.45697896749617,43.11290936544248,7.436224400181919,7.43517,100,0
EURDKKpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
EURDKKpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
EURGBPpro,1,2016.05.30 21:05:00,5.57491289198361,28.9759672718965,0.76160093686095,0.76145,100,0
EURGBPpro,5,2016.05.30 21:00:00,74.38016528925262,69.59633824295776,0.7616525855676449,0.76144,45,0
EURGBPpro,15,2016.05.30 20:45:00,26.84782608695658,0,0.7618936815640576,0.76192,16,0
EURGBPpro,30,2016.05.30 20:30:00,0,0,0.762138816,0.76192,9,0
EURGBPpro,60,2016.05.30 20:00:00,0,0,0,0.76192,5,0
EURGBPpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
