45|6|3250
45|6|3251
45|6|3252
45|6|3257
45|6|3258
45|6|3259
240|5|3264
240|5|3265
240|5|3266
240|5|3267
240|5|3268
240|5|3269
240|5|3274
240|5|3275
240|5|3278
240|5|3279
240|5|3284
240|5|3285
240|5|3286
240|5|3287
240|5|3288
240|5|3289
564|2|3292
564|2|3297
564|2|3298
564|2|3299
419|2|3310
419|2|3311
419|2|3312
419|2|3313
419|2|3316
419|2|3317
419|2|3318
419|2|3319
612|0|3329
240|5|3344
240|5|3345
240|5|3346
240|5|3347
240|5|3348
240|5|3349
222|6|3357
222|6|3358
222|6|3359
468|2|3360
468|2|3368
468|2|3369
85|6|3370
85|6|3378
85|6|3379
210|2|3390
210|2|3391
210|2|3392
210|2|3398
210|2|3399
399|1|3410
399|1|3411
399|1|3412
399|1|3413
399|1|3416
399|1|3417
399|1|3418
399|1|3419
89|5|3439
89|5|3440
89|5|3442
89|5|3443
89|5|3444
89|5|3445
89|5|3446
89|5|3447
89|5|3448
89|5|3449
89|5|3450
89|5|3451
89|5|3452
89|5|3453
89|5|3454
89|5|3455
89|5|3456
89|5|3457
89|5|3458
89|5|3459
386|6|3479
348|6|3480
348|6|3488
348|6|3489
478|6|3499
304|2|3506
304|2|3508
452|1|3525
452|1|3526
452|1|3527
452|1|3528
452|1|3529
424|6|3536
424|6|3537
424|6|3538
424|6|3539
188|2|3549
452|1|3552
452|1|3553
452|1|3555
452|1|3556
452|1|3557
452|1|3558
452|1|3559
452|1|3560
452|1|3565
452|1|3566
452|1|3567
452|1|3568
452|1|3569
467|2|3570
467|2|3571
467|2|3572
467|2|3573
467|2|3574
467|2|3575
467|2|3576
467|2|3577
467|2|3578
467|2|3579
246|6|3599
55|2|3600
55|2|3606
55|2|3608
55|2|3609
160|6|3619
75|0|3620
75|0|3628
75|0|3629
240|5|3643
240|5|3645
240|5|3646
240|5|3647
240|5|3648
240|5|3649
479|6|3659
182|6|3667
182|6|3668
182|6|3669
453|2|3673
453|2|3674
453|2|3675
453|2|3676
453|2|3677
453|2|3678
453|2|3679
302|6|3680
302|6|3689
456|6|3690
456|6|3699
12|2|3700
12|2|3708
12|2|3709
188|2|3714
188|2|3715
188|2|3716
188|2|3717
188|2|3718
188|2|3719
570|0|3729
63|6|3730
63|6|3738
63|6|3739
458|6|3754
458|6|3755
458|6|3756
458|6|3757
458|6|3758
458|6|3759
188|2|3760
188|2|3761
188|2|3762
188|2|3763
188|2|3764
188|2|3765
188|2|3766
188|2|3767
188|2|3768
188|2|3769
443|6|3779
235|2|3780
235|2|3788
235|2|3789
